"date","date_obs","heure_obs","temperature_eau_c"
2021-10-01,2021-10-01,"10:00:00",10.8
2021-10-01,2021-10-01,"10:00:00",10.8
2021-10-01,2021-10-01,"10:00:00",10.8
2021-10-01,2021-10-01,"10:00:00",10.8
2021-10-01,2021-10-01,"10:00:00",10.8
2021-10-01,2021-10-01,"10:00:00",10.8
2021-10-01,2021-10-01,"10:00:00",10.8
2021-10-01,2021-10-01,"10:00:00",10.8
2021-10-01,2021-10-01,"10:00:00",10.8
2021-10-01,2021-10-01,"10:00:00",10.8
2021-10-01,2021-10-01,"10:00:00",10.8
2021-10-01,2021-10-01,"10:00:00",10.8
2021-10-01,2021-10-01,"10:00:00",10.8
2021-10-01,2021-10-01,"10:00:00",10.8
2021-10-01,2021-10-01,"10:00:00",10.8
2021-10-01,2021-10-01,"10:00:00",10.8
2021-10-01,2021-10-01,"10:00:00",10.8
2021-10-01,2021-10-01,"10:00:00",10.8
2021-10-01,2021-10-01,"10:00:00",10.8
2021-10-01,2021-10-01,"10:00:00",10.8
2021-10-01,2021-10-01,"10:00:00",10.8
2021-10-01,2021-10-01,"10:00:00",10.8
2021-10-01,2021-10-01,"10:00:00",10.8
2021-10-01,2021-10-01,"10:00:00",10.8
2021-10-01,2021-10-01,"10:00:00",10.8
2021-10-01,2021-10-01,"10:00:00",10.8
2021-10-01,2021-10-01,"10:00:00",10.8
2021-10-01,2021-10-01,"10:00:00",10.8
2021-10-01,2021-10-01,"10:00:00",10.8
2021-10-01,2021-10-01,"10:00:00",10.8
2021-10-01,2021-10-01,"10:00:00",10.8
2021-10-01,2021-10-01,"10:00:00",10.8
2021-10-01,2021-10-01,"10:00:00",10.8
2021-10-01,2021-10-01,"10:00:00",10.8
2021-10-01,2021-10-01,"10:00:00",10.8
2019-09-21,2019-09-21,"15:05:00",15.4
2019-09-21,2019-09-21,"15:05:00",15.4
2019-09-21,2019-09-21,"15:05:00",15.4
2019-09-21,2019-09-21,"15:05:00",15.4
2019-09-21,2019-09-21,"15:05:00",15.4
2019-09-21,2019-09-21,"15:05:00",15.4
2019-09-21,2019-09-21,"15:05:00",15.4
2019-09-21,2019-09-21,"15:05:00",15.4
2019-09-21,2019-09-21,"15:05:00",15.4
2019-09-21,2019-09-21,"15:05:00",15.4
2019-09-21,2019-09-21,"15:05:00",15.4
2019-09-21,2019-09-21,"15:05:00",15.4
2019-09-21,2019-09-21,"15:05:00",15.4
2019-09-21,2019-09-21,"15:05:00",15.4
2019-09-21,2019-09-21,"15:05:00",15.4
2019-09-21,2019-09-21,"15:05:00",15.4
2019-09-21,2019-09-21,"15:05:00",15.4
2019-09-21,2019-09-21,"15:05:00",15.4
